"","treatment","inoculum","sample_Id","plant","length","avgDiam","rootVolume","lenPerVol","tips","forks","crossings","FRL","CRL","FRS","CRS","FVOL"
"62","Control","NI","Plant4_NI_Control_Part1",4,2666.8157,0.358,2.684,29890,9169,3864,2864463.7239,2648.0159,11.8566,230.7529,9.9817,9168
"63","Control","NI","Plant4_NI_Control_Part2",4,2663.6731,0.3641,2.773,27434,10146,3227,2861088.136,2636.2797,23.0505,227.4781,19.7631,10146
"64","Control","NI","Plant5_NI_Control_Part1",5,2198.9958,0.3548,2.174,22719,9246,2635,2361971.8837,2174.2148,21.7289,189.6325,18.577,9243
"65","Control","NI","Plant5_NI_Control_Part2",5,3360.0465,0.3125,2.577,34949,17122,4763,3609072.5304,3326.9847,26.9433,259.1124,21.7404,17118
"66","Control","NI","Plant6_NI_Control_Part1",6,2774.3046,0.3333,2.421,26025,10119,3658,2979919.0654,2753.7492,14.0678,228.8315,12.1584,10117
"67","Control","NI","Plant6_NI_Control_Part2",6,2624.6443,0.3109,1.993,25761,12196,3785,2819166.8126,2595.8778,26.7609,200.4584,22.3238,12194
"68","F35","AB1","Plant1_AB1_F35_part1",1,1663.6152,0.4065,2.159,11588,7874,1426,1786912.092,1633.5418,21.3757,154.4456,18.6848,7869
"69","F35","AB1","Plant1_AB1_F35_part2",1,1867.9067,0.4066,2.425,11829,8718,1290,2006344.5208,1828.5367,31.4524,180.2235,25.0184,8715
"70","F35","AB1","Plant2_AB1_F35",2,1177.9165,0.3979,1.464,7051,5873,759,1265216.4397,1155.7458,15.6676,109.2647,14.0776,5868
"71","F35","AB1","Plant3_AB1_F35",3,2552.6824,0.3918,3.077,18837,10174,2236,2741871.4909,2512.1929,31.4225,238.0092,26.5118,10174
"72","F35","AB1","Plant4_AB1_F35",4,2386.7483,0.3673,2.528,18896,11819,2284,2563639.4062,2361.1894,19.8547,221.2443,16.7214,11817
"73","F35","AB1","Plant5_AB1_F35",5,2142.8299,0.4176,2.934,15027,9389,1555,2301643.3404,2105.2521,32.1343,215.2655,26.4845,9386
"74","F35","AB21","Plant1_AB21_F35_Part1",1,1643.4258,0.4081,2.149,9675,6220,1001,1765226.3808,1614.8998,22.0519,160.5795,17.6393,6212
"75","F35","AB21","Plant1_AB21_F35_Part2",1,834.5002,0.3062,0.614,5166,3409,726,896348.2174,829.6537,4.3707,67.8917,3.2972,3408
"76","F35","AB21","Plant2_AB21_F35",2,2137.24,0.3381,1.919,14654,8763,2025,2295639.0802,2111.0789,18.5008,174.5806,17.1202,8761
"77","F35","AB21","Plant3_AB21_F35",3,1452.2077,0.318,1.153,9550,6578,1211,1559836.4337,1442.7671,6.5569,120.1562,5.9187,6575
"78","F35","AB21","Plant4_AB21_F35",4,2081.4849,0.3159,1.632,16770,9535,2315,2235751.7654,2069.6132,8.6791,172.9699,7.0331,9532
"79","F35","AB21","Plant5_AB21_F35",5,2138.5533,0.3534,2.098,14508,8233,1797,2297049.7006,2113.7673,20.7771,191.0329,17.5623,8230
"80","F35","NI","Plant1_NI_F35_Part1",1,1597.9381,0.3119,1.221,12478,10751,1397,1716367.5025,1581.616,12.5425,122.3764,10.9721,10750
"81","F35","NI","Plant1_NI_F35_Part2",1,1408.368,0.3543,1.388,11336,7882,1320,1512747.6348,1389.6063,12.7068,120.2664,9.5004,7880
"82","F35","NI","Plant2_NI_F35_Part1",2,1458.158,0.2968,1.009,12825,9067,1790,1566227.745,1443.913,10.9149,106.5902,8.3395,9065
"83","F35","NI","Plant2_NI_F35_Part2",2,1107.2865,0.3163,0.87,8609,7103,1019,1189351.7981,1092.1446,14.1955,86.8948,10.5206,7100
"84","F35","NI","Plant3_NI_F35",3,3014.5405,0.3255,2.509,25925,16756,3834,3237959.7422,2986.188,20.1764,241.2899,16.6501,16752
"85","F35","NI","Plant4_NI_F35",4,2433.6817,0.3492,2.331,18548,12069,2336,2614051.2099,2408.9256,16.5416,207.5872,13.4171,12066
"86","F35","NI","Plant5_NI_F35_Part1",5,2441.7343,0.3585,2.465,20329,13354,2625,2622700.6745,2403.8879,34.2126,210.4383,28.775,13351
"87","F35","NI","Plant5_NI_F35_Part2",5,2490.3402,0.3353,2.198,23913,13445,3665,2674908.9013,2460.5538,17.2636,195.7604,15.6959,13441
"88","F35","NI","Plant6_NI_F35_Part1",6,1854.8506,0.3243,1.532,15068,9555,1969,1992320.6878,1840.0867,10.6714,152.9201,9.1775,9552
"89","F35","NI","Plant6_NI_F35_Part2",6,2066.3257,0.3116,1.576,15591,11380,2282,2219469.0208,2041.8803,15.4773,156.8476,12.6632,11377
"90","Kalex","AB1","Plant1_AB1_Kalex",1,922.2247,0.5601,2.272,5042,4329,407,990574.3354,886.5624,27.7028,101.5874,24.2277,4324
"91","Kalex","AB1","Plant2_AB1_Kalex",2,767.6489,0.5803,2.031,4630,3526,426,824542.3373,736.2543,20.2684,85.8454,18.8897,3519
"92","Kalex","AB1","Plant3_AB1_Kalex",3,1158.1188,0.5482,2.733,5846,4552,554,1243951.4461,1119.4774,30.0151,141.3255,25.9025,4547
"93","Kalex","AB1","Plant4_AB1_Kalex",4,1373.8369,0.48,2.486,7908,4885,789,1475657.2146,1338.6378,28.1659,147.1639,24.1499,4884
"94","Kalex","AB1","Plant5_AB1_Kalex",5,879.923,0.5254,1.908,5105,4171,504,945137.4773,854.7009,17.8682,104.3342,14.5318,4164
"95","Kalex","AB1","Plant6_AB1_Kalex",6,1332.8574,0.4076,1.739,10259,7271,1158,1431640.5903,1307.5299,17.3274,124.4659,14.2171,7265
"96","Kalex","AB21","Plant1_AB21_Kalex",1,2656.668,0.3254,2.209,20450,11074,2721,2853563.9261,2640.2931,10.0508,222.8456,8.576,11072
"97","Kalex","AB21","Plant2_AB21_Kalex",2,1912.7609,0.3317,1.653,14261,8726,2069,2054522.9429,1893.4688,15.3876,160.4536,13.3403,8720
"98","Kalex","AB21","Plant3_AB21_Kalex",3,2211.6274,0.297,1.532,17706,10873,2113,2375539.6782,2198.2782,11.5271,170.0105,9.6603,10871
"99","Kalex","AB21","Plant4_AB21_Kalex_Part1",4,1992.1205,0.3478,1.893,15190,8556,1879,2139764.2699,1969.6431,20.8684,175.5799,16.6216,8554
"100","Kalex","AB21","Plant4_AB21_Kalex_Part2",4,1357.1702,0.4063,1.76,10940,5961,1211,1457755.3446,1332.144,19.5493,129.605,15.992,5961
"101","Kalex","AB21","Plant5_AB21_Kalex_Part1",5,1243.6318,0.3699,1.336,8999,5985,936,1335802.1892,1232.2808,10.5363,120.9004,9.7413,5984
"102","Kalex","AB21","Plant5_AB21_Kalex_Part2",5,1916.2942,0.4011,2.422,13767,8223,1583,2058318.2058,1879.2713,29.6144,180.62,24.7005,8219
"103","Kalex","AB21","Plant6_AB21_Kalex",6,1128.8548,0.3918,1.361,7733,4620,797,1212518.5437,1113.387,12.8596,109.3571,11.2505,4619
"104","Kalex","NI","Plant1_NI_Kalex_Part1",1,2146.5613,0.2846,1.365,25584,12635,4015,2305651.234,2125.4444,18.9746,152.7932,14.6695,12632
"105","Kalex","NI","Plant1_NI_Kalex_Part2",1,2254.4286,0.2864,1.452,27315,13709,4364,2421512.9442,2227.7208,21.7594,154.2268,19.3626,13705
"106","Kalex","NI","Plant2_NI_Kalex_Part1",2,2456.7532,0.2711,1.419,28014,13232,4269,2638832.6368,2440.2155,10.4944,167.437,9.4842,13231
"107","Kalex","NI","Plant2_NI_Kalex_Part2",2,2045.4866,0.2391,0.918,22591,12517,3811,2197085.4997,2040.2011,2.3157,126.7834,1.8791,12516
"108","Kalex","NI","Plant3_NI_Kalex_Part1",3,2317.9444,0.2947,1.581,22813,11149,3192,2489736.2426,2298.9153,14.6579,170.7122,11.7522,11147
"109","Kalex","NI","Plant3_NI_Kalex_Part2",3,2142.544,0.3162,1.682,20922,10703,2885,2301336.2035,2117.3481,20.8016,166.753,17.4859,10701
"110","Kalex","NI","Plant4_NI_Kalex_Part1",4,2215.2516,0.3002,1.568,20173,9570,3062,2379432.3995,2194.2633,17.7542,167.5313,14.8758,9569
"111","Kalex","NI","Plant4_NI_Kalex_Part2",4,1647.2408,0.3346,1.449,12332,7620,1585,1769324.2131,1627.4326,15.6822,133.4609,12.4485,7617
"112","Kalex","NI","Plant5_NI_Kalex_Part1",5,2431.3156,0.321,1.967,25072,13283,3667,2611509.7405,2408.8919,16.0233,189.5597,13.0051,13282
"113","Kalex","NI","Plant5_NI_Kalex_Part2",5,1802.8935,0.324,1.487,18107,11489,2579,1936512.8957,1781.824,15.8025,142.5748,12.6847,11488
"114","Kalex","NI","Plant6_NI_Kalex_Part1",6,2162.594,0.2862,1.391,21568,12704,3587,2322872.166,2143.8618,10.4793,151.8743,8.4327,12700
"115","Kalex","NI","Plant6_NI_Kalex_Part2",6,1770.852,0.2667,0.989,17074,10460,2626,1902096.6501,1757.4406,11.522,120.1381,8.9207,10460
"116","Ridomil","AB1","Plant1_AB1_Ridomil",1,1147.1551,0.3896,1.367,6939,5302,873,1232175.2211,1124.3813,19.6398,108.6768,15.6893,5296
"117","Ridomil","AB1","Plant2_AB1_Ridomil",2,957.8453,0.4199,1.326,4408,3873,428,1028834.9501,939.2333,12.9259,95.6386,11.4465,3868
"118","Ridomil","AB1","Plant3_AB1_Ridomil",3,630.7164,0.4591,1.044,3362,3152,263,677461.1771,614.5617,14.5103,68.9507,12.0358,3147
"119","Ridomil","AB1","Plant4_AB1_Ridomil",4,1316.7401,0.4244,1.863,5344,4981,615,1414328.8372,1283.3559,25.873,125.971,21.8104,4980
"120","Ridomil","AB1","Plant5_AB1_Ridomil",5,943.6952,0.4884,1.768,3967,3417,386,1013636.0492,918.7367,17.5126,104.3395,15.2271,3415
"121","Ridomil","AB1","Plant6_AB1_Ridomil",6,1229.6929,0.4031,1.57,8342,5500,973,1320830.2031,1214.5582,7.6256,121.8834,6.6591,5495
"122","Ridomil","AB21","Plant1_AB21_Ridomil",1,1838.6183,0.3901,2.198,12390,8611,1283,1974885.4168,1817.3891,15.4771,180.8797,12.5875,8610
"123","Ridomil","AB21","Plant2_AB21_Ridomil",2,1323.9814,0.3752,1.464,8282,6055,843,1422106.7615,1311.7259,10.505,130.1683,8.4067,6051
"124","Ridomil","AB21","Plant3_AB21_Ridomil",3,1839.9277,0.3542,1.813,11550,10462,1404,1976291.8205,1823.4709,14.4075,170.4169,11.7567,10461
"125","Ridomil","AB21","Plant4_AB21_Ridomil",4,1871.1513,0.3903,2.239,11349,8457,1299,2009829.5178,1840.9855,26.6045,180.26,22.3831,8454
"126","Ridomil","AB21","Plant5_AB21_Ridomil",5,1153.7409,0.402,1.464,7586,4690,837,1239249.1318,1136.5703,15.8676,112.8233,13.2459,4690
"127","Ridomil","AB21","Plant6_AB21_Ridomil",6,1238.2869,0.3386,1.115,8793,7028,1063,1330061.1314,1219.8652,15.1965,101.117,13.294,7024
"128","Ridomil","NI","Plant1_NI_Ridomil_Part1",1,2292.5054,0.3002,1.623,23775,11771,3628,2462411.8487,2276.0337,14.3514,171.5662,13.154,11770
"129","Ridomil","NI","Plant1_NI_Ridomil_Part2",1,1980.3493,0.253,0.995,20222,12827,3328,2127120.6078,1967.3883,9.9503,129.4495,8.9164,12824
"130","Ridomil","NI","Plant2_NI_Ridomil_Part1",2,1912.255,0.2699,1.094,17766,9780,2828,2053979.6034,1897.8874,12.8864,133.3714,9.4314,9778
"131","Ridomil","NI","Plant2_NI_Ridomil_Part2",2,2037.1098,0.2729,1.192,17502,12557,2502,2188087.8784,2030.9953,4.3654,150.0738,3.4962,12557
"132","Ridomil","NI","Plant3_NI_Ridomil_Part1",3,1753.8859,0.2687,0.995,18511,8573,3098,1883873.1545,1744.0457,7.805,121.0355,6.4025,8572
"133","Ridomil","NI","Plant3_NI_Ridomil_Part2",3,1686.5557,0.2619,0.908,17582,10758,2712,1811552.8033,1679.8218,5.1269,117.9565,4.4686,10757
"134","Ridomil","NI","Plant4_NI_Ridomil_Part1",4,1479.23,0.3182,1.177,10578,7790,1191,1588861.4697,1469.9919,7.4793,126.6429,5.8378,7789
"135","Ridomil","NI","Plant4_NI_Ridomil_Part2",4,1001.1063,0.261,0.535,7260,6141,954,1075302.0952,995.6132,5.0164,68.5735,4.0515,6139
"136","Ridomil","NI","Plant5_NI_Ridomil",5,2430.2735,0.2945,1.656,23477,12713,3609,2610390.4428,2413.6703,10.1705,180.6454,8.7918,12707
"137","Ridomil","NI","Plant6_NI_Ridomil",6,2532.2234,0.2949,1.73,21748,15375,3078,2719896.2696,2511.6092,15.1431,191.2211,12.9892,15374
