Inoculum,Treatment,Days,mean_class
NI,BV+F35,75,1
NI,BV+F35,82,1
NI,BV+F35,87,1
NI,BV+F35,97,1
NI,Control,0,0
NI,Control,3,0
NI,Control,6,0
NI,Control,14,0
NI,Control,20,0
NI,Control,25,0.16666666666666666
NI,Control,28,0.16666666666666666
NI,Control,40,0.16666666666666666
NI,Control,46,0.16666666666666666
NI,Control,53,0.16666666666666666
NI,Control,59,0.16666666666666666
NI,Control,66,0.16666666666666666
NI,Control,75,0.16666666666666666
NI,Control,82,0.16666666666666666
NI,Control,87,0.16666666666666666
NI,Control,97,0.16666666666666666
NI,F35,0,0
NI,F35,3,0
NI,F35,6,0
NI,F35,14,0
NI,F35,20,0
NI,F35,25,0
NI,F35,28,0
NI,F35,40,0
NI,F35,46,0
NI,F35,53,0
NI,F35,59,0
NI,F35,66,0
NI,F35,75,0.5
NI,F35,82,0.5
NI,F35,87,0.5
NI,F35,97,0.5
NI,Kalex,0,0
NI,Kalex,3,0
NI,Kalex,6,0
NI,Kalex,14,0
NI,Kalex,20,0
NI,Kalex,25,0
NI,Kalex,28,0.16666666666666666
NI,Kalex,40,0.16666666666666666
NI,Kalex,46,0.16666666666666666
NI,Kalex,53,0.16666666666666666
NI,Kalex,59,0.16666666666666666
NI,Kalex,66,0.16666666666666666
NI,Kalex,75,0.16666666666666666
NI,Kalex,82,0.16666666666666666
NI,Kalex,87,0.16666666666666666
NI,Kalex,97,0.16666666666666666
NI,Ridomil,0,0
NI,Ridomil,3,0
NI,Ridomil,6,0
NI,Ridomil,14,0
NI,Ridomil,20,1.1666666666666667
NI,Ridomil,25,1.3333333333333333
NI,Ridomil,28,1.3333333333333333
NI,Ridomil,40,1.5
NI,Ridomil,46,1.5
NI,Ridomil,53,1.5
NI,Ridomil,59,1.5
NI,Ridomil,66,2.6666666666666665
NI,Ridomil,75,3
NI,Ridomil,82,3
NI,Ridomil,87,3
NI,Ridomil,97,3
